ID;Negócio;Área;Cidade;Website;Instagram;Problema Identificado;Contacto;Estado
1;Restaurante O Fado;Restaurante;Lisboa;Nenhum;@ofadolisboa;Não tem website. Instagram muito ativo com pratos excelentes. Clientes não conseguem ver o menu de forma limpa no telemóvel.;geral@ofadolisboa.com;A contactar
2;Barbearia Imperial;Barbearia;Porto;http://barbeariaimperial-old.pt;@barbearia_imperial;Website antigo de 2018, não adaptado para telemóvel. Marcações feitas apenas por telefone ou DM lenta.;912 888 777;A contactar
3;Café Central de Coimbra;Café;Coimbra;Nenhum;@cafecentralcoimbra;Sem website. Apenas página de Facebook desatualizada no Google. Excelente esplanada e menus de almoço que poderiam ser mostrados diariamente.;geral@cafecentralcoimbra.pt;A contactar
4;Oficina AutoRápido;Oficina;Braga;Nenhum;@autorapidobraga;Falta de presença web estruturada. Google Maps com informações de horário incompletas e sem link para agendamentos.;934 555 111;A contactar
5;Estética Magnólia;Estética;Aveiro;Nenhum;@magnolia.estetica;Dependência total do Instagram Direct para reservas de tratamentos. Perdem clientes pela demora na resposta às mensagens.;magnolia.aveiro@email.com;A contactar
6;Ginásio FitLife;Ginásio;Faro;http://fitlifefaro.pt;@fitlife_faro;Site extremamente lento a carregar no telemóvel. Sem botão direto para iniciar conversa de WhatsApp com a receção.;info@fitlifefaro.pt;A contactar
7;Restaurante Taberna do Zé;Restaurante;Évora;Nenhum;@tabernadoze.evora;Menu de almoço e vinhos disponibilizado apenas em PDF pesado no link do Instagram, difícil de descarregar e ler no ecrã do telemóvel.;961 222 333;A contactar
8;Barbearia Vintage;Barbearia;Guimarães;Nenhum;@barbeariavintage_guimaraes;Agenda gerida manualmente num livro de papel. Sem opção de marcação online automática para libertar tempo de atendimento.;911 345 999;A contactar
9;Oficina do Bairro;Oficina;Setúbal;Nenhum;Nenhum;Não tem website nem redes sociais. Tem apenas ficha no Google Maps, mas sem fotos nem descrição dos serviços especializados.;265 999 123;A contactar
10;Café do Porto;Café;Porto;Nenhum;@cafedoporto.baixa;Negócio conceituado na zona histórica mas sem presença digital oficial além do TripAdvisor. Clientes têm dificuldade em encontrar menu de brunch.;info@cafedoporto.pt;A contactar
11;Clínica Estética Bela;Estética;Lisboa;Nenhum;@bela.estetica.clinica;Tem Instagram excelente, mas sem site para detalhar os benefícios de cada tratamento avançado ou tabela de preços organizados.;clinica.bela@gmail.com;A contactar
12;Ginásio IronPump;Ginásio;Braga;Nenhum;@ironpump_braga;Ginásio com boa comunidade mas sem site oficial para inscrições online, regulamento de mensalidades ou grelha de aulas de grupo.;921 777 222;A contactar
13;Restaurante Pizzaria Bella;Restaurante;Aveiro;Nenhum;@pizzariabella.aveiro;Sem site de menu digital rápido. Partilham fotos desfocadas da ementa física nas 'histórias' do Instagram.;pizzariabella@hotmail.com;A contactar
14;Barbearia Moderno;Barbearia;Coimbra;Nenhum;@barbeariamoderno_coimbra;Falta de agendamento online automático. Agenda cheia de falhas por chamadas não atendidas durante os cortes de cabelo.;967 444 888;A contactar
15;Oficina TecnicCar;Oficina;Faro;Nenhum;Nenhum;Oficina tradicional bem avaliada no Maps mas sem site para detalhar serviços especializados de eletrónica e mecânica.;289 123 456;A contactar
16;Pastelaria Doce Aroma;Café;Leiria;Nenhum;@docearoma.leiria;Sem site próprio. Aceitam encomendas de bolos de aniversário apenas por chamada ou DM, originando muitos mal-entendidos.;docearoma.leiria@outlook.com;A contactar
17;Clínica Dentária Sorriso;Clínica;Viseu;http://clinicasorrisoviseu.pt;@clinicasorriso_viseu;Website antigo que não funciona bem no ecrã de telemóveis (não é responsivo). Formulário de contacto dá erro ao enviar.;geral@clinicasorrisoviseu.pt;A contactar
18;Churrasqueira Nova;Restaurante;Bragança;Nenhum;@churrasqueiranova;Takeaway local muito forte que necessita de um menu simples para telemóvel e botão de chamada rápida direta no ecrã principal.;933 111 888;A contactar
19;Barbearia D. João;Barbearia;Lisboa;Nenhum;@barbeariadjoao;Falta de automatização. Utilizam um link genérico que direciona para um chat de WhatsApp caótico para fazer agendamentos.;918 333 444;A contactar
20;Stand AutoNorte;Oficina;Porto;http://autonorte-stand-old.pt;@autonorte_stand;Site desatualizado onde os clientes não conseguem pesquisar carros disponíveis de forma intuitiva no telemóvel.;info@autonorte.pt;A contactar
21;Ginásio TargetFit;Ginásio;Aveiro;Nenhum;@targetfit_aveiro;Sem website oficial. Apenas partilham fotos do espaço no Instagram. Necessitam de um portal simples para novos sócios.;geral@targetfit.pt;A contactar
22;Studio Chic Cabeleireiros;Estética;Porto;Nenhum;@studiochic_porto;Cabeleireiro com agenda concorrida mas sem site próprio. Clientes ligam várias vezes durante o dia interrompendo o trabalho.;922 456 789;A contactar
23;Restaurante O Lagar;Restaurante;Santarém;Nenhum;@olagar.santarem;Restaurante tradicional excelente sem presença online oficial. Perda de turistas que procuram sítios para comer no Google.;info@olagarsantarem.pt;A contactar
